Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A water quality prediction method based on k-nearest-neighbor probability rough sets and PSO-LSTM,Applied Intelligence,,,,10.1007/s10489-023-05024-2,Minrui HuangBao Qing HuHaibo JiangBo Wen Fang,2023,https://link.springer.com/article/10.1007/s10489-023-05024-2,Article
An intelligent decision system for virtual machine migration based on specific Q-learning,Journal of Cloud Computing,,,,10.1186/s13677-024-00684-y,Xinying ZhuRan XiaHang ZhouShuo ZhouHaoran Liu,2024,https://link.springer.com/article/10.1186/s13677-024-00684-y,Article
Semi-hard constraint augmentation of triplet learning to improve image corruption classification,The Visual Computer,,,,10.1007/s00371-024-03514-z,Xiaohong ZhangShengwu XiongZhaoyang SunJianwen Xiang,2024,https://link.springer.com/article/10.1007/s00371-024-03514-z,Article
Layer-Specific Repair of&#xa0;Neural Network Classifiers,Artificial Neural Networks and Machine Learning – ICANN 2022,,,,10.1007/978-3-031-15919-0_46,Shuo SunJun YanRongjie Yan,2022,https://link.springer.com/chapter/10.1007/978-3-031-15919-0_46,Conference paper
Evaluating few-shot and contrastive learning methods for code clone detection,Empirical Software Engineering,,,,10.1007/s10664-024-10441-z,Mohamad KhajezadeFatemeh H. FardMohamed S. Shehata,2024,https://link.springer.com/article/10.1007/s10664-024-10441-z,Article
Integrating LLM-based code optimization with human-like exclusionary reasoning for computational education,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00074-7,Yi RongTianfeng DuRoubing LiWenting Bao,2025,https://link.springer.com/article/10.1007/s44443-025-00074-7,Article
Getaway Guide—ML Powered Travel Itinerary Curation,Artificial Intelligence: Theory and Applications,,,,10.1007/978-981-96-1687-9_24,Medha ShahTanay DaveDevarshee ThopteLynette Dmello,2025,https://link.springer.com/chapter/10.1007/978-981-96-1687-9_24,Conference paper
AI-Driven Forecasting of&#xa0;Tuberculosis Cases: Enhancing Medical Education with&#xa0;Predictive Learning Models,Learning Technology for Education Challenges,,,,10.1007/978-3-031-98003-9_24,Suriana LasaraiyaSuzelawati ZenianRisman Mat HasimAzmirul Ashaari,2025,https://link.springer.com/chapter/10.1007/978-3-031-98003-9_24,Conference paper
Interventional Supervised Learning for&#xa0;Person Re-identification,Pattern Recognition and Computer Vision,,,,10.1007/978-981-99-8543-2_21,Qingwang ZengJing Xiao,2024,https://link.springer.com/chapter/10.1007/978-981-99-8543-2_21,Conference paper
Personalised Code and&#xa0;Error Predictions in&#xa0;Programming Education via&#xa0;Large Language Models,Artificial Intelligence in Education,,,,10.1007/978-3-031-98420-4_29,Martha ShakaDiego CarraroKenneth N. Brown,2025,https://link.springer.com/chapter/10.1007/978-3-031-98420-4_29,Conference paper
End-User Customization of&#xa0;Trigger-Action Rules Through Fine-Tuned LLMs,End-User Development,,,,10.1007/978-3-031-95452-8_2,Gaetano CiminoVincenzo Deufemia,2025,https://link.springer.com/chapter/10.1007/978-3-031-95452-8_2,Conference paper
Inductive Lottery Ticket Learning for Graph Neural Networks,Journal of Computer Science and Technology,,,,10.1007/s11390-023-2583-5,Yong-Duo SuiXiang WangTianlong ChenMeng WangXiang-Nan HeTat-Seng Chua,2024,https://link.springer.com/article/10.1007/s11390-023-2583-5,Article
Pushing to the Limit: An Attention-Based Dual-Prune Approach for Highly-Compacted CNN Filter Pruning,Journal of Computer Science and Technology,,,,10.1007/s11390-024-3536-3,Yu-Chu FangWen-Zhong LiYao ZengQing-Ning LuSang-Lu Lu,2025,https://link.springer.com/article/10.1007/s11390-024-3536-3,Article
Version 8 of&#xa0;YOLO for&#xa0;Wildfire Detection,Deep Learning Theory and Applications,,,,10.1007/978-3-031-66705-3_13,César AbreuCreison NunesAdriano Lisboa,2024,https://link.springer.com/chapter/10.1007/978-3-031-66705-3_13,Conference paper
Evaluating Custom-Precision Operator Support in&#xa0;MLIR for&#xa0;ARM CPUs,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,10.1007/978-3-031-74643-7_12,Manfred MückeChristoph Gratl,2025,https://link.springer.com/chapter/10.1007/978-3-031-74643-7_12,Conference paper
LWCM: A Lookahead-Window Constrained Model for Disk Failure Prediction in Large Data Centers,Journal of Computer Science and Technology,,,,10.1007/s11390-025-3850-4,Xin-Yan ZhangDan FengZhi-Peng TanYan-Wen XieShao-Feng ZhaoYa-Yuan Wei,2025,https://link.springer.com/article/10.1007/s11390-025-3850-4,Article
Granularity-driven trisecting-and-learning models for interval-valued rule induction,Applied Intelligence,,,,10.1007/s10489-023-04468-w,Yingxiao ChenPing ZhuQiaoyi LiYiyu Yao,2023,https://link.springer.com/article/10.1007/s10489-023-04468-w,Article
Combining Innovative CVTNet and Regularization Loss for Robust Adversarial Defense,Journal of Computer Science and Technology,,,,10.1007/s11390-024-3515-8,Wei-Dong WangZhi LiLi Zhang,2024,https://link.springer.com/article/10.1007/s11390-024-3515-8,Article
A Survey of Static and Temporal Explainable Methods and Their Applications in Knowledge Tracing,Journal of Computer Science and Technology,,,,10.1007/s11390-025-4239-0,Fan LiTian-Cheng ZhangYi-Fang YinDi FanMing-He YuGe Yu,2025,https://link.springer.com/article/10.1007/s11390-025-4239-0,Article
STA: Enhancing Spatio-temporal Crowd Flow Prediction Using Attention-based Deep Learning and&#xa0;Feature Similarity,Advanced Data Mining and Applications,,,,10.1007/978-981-96-0821-8_27,Xiujuan XuRenJie LiuJiaxin AiYu LiuXiaowei Zhao,2025,https://link.springer.com/chapter/10.1007/978-981-96-0821-8_27,Conference paper
Combining <i>K</i>NN with AutoEncoder for Outlier Detection,Journal of Computer Science and Technology,,,,10.1007/s11390-023-2403-y,Shu-Zheng LiuShuai MaHan-Qing ChenLi-Zhen CuiJie Ding,2024,https://link.springer.com/article/10.1007/s11390-023-2403-y,Article
Distributed Deep Learning for Content-Based Image Retrieval,"Machine Learning, Image Processing, Network Security and Data Sciences",,,,10.1007/978-981-19-5868-7_2,U. S. N. RajuDebanjan PathakHarika AlaNetalkar Rohan KishorHillol Barman,2023,https://link.springer.com/chapter/10.1007/978-981-19-5868-7_2,Conference paper
Meta-Learning Based Few-Shot Link Prediction for Emerging Knowledge Graph,Journal of Computer Science and Technology,,,,10.1007/s11390-024-2863-8,Yu-Feng ZhangWei ChenPeng-Peng ZhaoJia-Jie XuJun-Hua FangLei Zhao,2024,https://link.springer.com/article/10.1007/s11390-024-2863-8,Article
<i>PTM4Tag+</i>: Tag recommendation of stack overflow posts with pre-trained models,Empirical Software Engineering,,,,10.1007/s10664-024-10576-z,Junda HeBowen XuZhou YangDongGyun HanChengran YangJiakun LiuZhipeng ZhaoDavid Lo,2024,https://link.springer.com/article/10.1007/s10664-024-10576-z,Article
Search-Based Optimisation of&#xa0;LLM Learning Shots for&#xa0;Story Point Estimation,Search-Based Software Engineering,,,,10.1007/978-3-031-48796-5_9,Vali TawosiSalwa AlamirXiaomo Liu,2024,https://link.springer.com/chapter/10.1007/978-3-031-48796-5_9,Conference paper
Impact of&#xa0;Pruning Distribution in&#xa0;Compressed CNN Models: A Case Study,Applied Computer Sciences in Engineering,,,,10.1007/978-3-031-46739-4_8,César PachónCésar PedrazaDora Ballesteros,2023,https://link.springer.com/chapter/10.1007/978-3-031-46739-4_8,Conference paper
Sequential rough set: a conservative extension of Pawlak’s classical rough set,Artificial Intelligence Review,,,,10.1007/s10462-024-10976-z,Wenyan XuYucong YanXiaonan Li,2024,https://link.springer.com/article/10.1007/s10462-024-10976-z,Article
Knowledge-guided large language models are trustworthy API recommenders,Automated Software Engineering,,,,10.1007/s10515-025-00518-4,Hongwei WeiXiaohong SuWeining ZhengWenxing TaoHailong YuYuqian Kuang,2025,https://link.springer.com/article/10.1007/s10515-025-00518-4,Article
Intent-Aware Graph-Level Embedding Learning Based Recommendation,Journal of Computer Science and Technology,,,,10.1007/s11390-024-3522-9,Peng-Yi HaoSi-Hao LiuCong Bai,2024,https://link.springer.com/article/10.1007/s11390-024-3522-9,Article
VTensor: Using Virtual Tensors to Build a Layout-Oblivious AI Programming Framework,Journal of Computer Science and Technology,,,,10.1007/s11390-022-1457-6,Feng YuJia-Cheng ZhaoHui-Min CuiXiao-Bing FengJingling Xue,2023,https://link.springer.com/article/10.1007/s11390-022-1457-6,Article
Cross-platform edge deployment of machine learning models: a model-driven approach,Software and Systems Modeling,,,,10.1007/s10270-025-01273-6,Albin Karlsson LandgrenPhilip Perhult JohnsenDaniel Strüber,2025,https://link.springer.com/article/10.1007/s10270-025-01273-6,Article
Semi-Supervised Intracranial Aneurysm Segmentation from CTA Images via Weight-Perceptual Self-Ensembling Model,Journal of Computer Science and Technology,,,,10.1007/s11390-022-0870-1,Cai-Zi LiRui-Qiang LiuHuan-Xin ZhongJun-Ming FanWei-Xin SiMeng ZhangPheng-Ann Heng,2023,https://link.springer.com/article/10.1007/s11390-022-0870-1,Article
"Evaluating Large Language Models in&#xa0;Process Mining: Capabilities, Benchmarks, and&#xa0;Evaluation Strategies","Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-031-61007-3_2,Alessandro BertiHumam KouraniHannes HäfkeChiao-Yun LiDaniel Schuster,2024,https://link.springer.com/chapter/10.1007/978-3-031-61007-3_2,Conference paper
Semi-Discrete Optimal Transport for Long-Tailed Classification,Journal of Computer Science and Technology,,,,10.1007/s11390-023-3086-0,Lian-Bao JinNa LeiZhong-Xuan LuoJin WuChao AiXianfeng Gu,2025,https://link.springer.com/article/10.1007/s11390-023-3086-0,Article
Stock Market Prediction Using Ensemble Learning and Sentimental Analysis,"Machine Learning, Image Processing, Network Security and Data Sciences",,,,10.1007/978-981-19-5868-7_32,Tinku SinghSiddhant BhisikarSatakshiManish Kumar,2023,https://link.springer.com/chapter/10.1007/978-981-19-5868-7_32,Conference paper
Identity-Preserving Adversarial Training for Robust Network Embedding,Journal of Computer Science and Technology,,,,10.1007/s11390-023-2256-4,Ke-Ting CenHua-Wei ShenQi CaoBing-Bing XuXue-Qi Cheng,2024,https://link.springer.com/article/10.1007/s11390-023-2256-4,Article
VConv: Autotiling Convolution Algorithm Based on&#xa0;MLIR for&#xa0;Multi-core Vector accelerators,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_14,Xiaorong ChenCheng LiZhong Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_14,Conference paper
Enhancing search-based testing with LLMs for finding bugs in system simulators,Automated Software Engineering,,,,10.1007/s10515-025-00531-7,Aidan DakhamaKarine Even-MendozaW. B LangdonHéctor D. MenéndezJustyna Petke,2025,https://link.springer.com/article/10.1007/s10515-025-00531-7,Article
IntelliCon: Confidence-Based Approach for Fine-Grained Vulnerability Analysis in&#xa0;Smart Contracts,Blockchain and Trustworthy Systems,,,,10.1007/978-981-99-8101-4_4,Yiming ShenKunhua LiLin MaoWenkai LiXiaoqi Li,2024,https://link.springer.com/chapter/10.1007/978-981-99-8101-4_4,Conference paper
Revisiting the&#xa0;Shape-Bias of&#xa0;Deep Learning for&#xa0;Dermoscopic Skin Lesion Classification,Medical Image Understanding and Analysis,,,,10.1007/978-3-031-12053-4_4,Adriano LucieriFabian SchmeisserChristoph Peter BaladaShoaib Ahmed SiddiquiAndreas DengelSheraz Ahmed,2022,https://link.springer.com/chapter/10.1007/978-3-031-12053-4_4,Conference paper
"Sales Prediction Using ARIMA, Facebook’s Prophet and XGBoost Model of Machine Learning","Machine Learning, Image Processing, Network Security and Data Sciences",,,,10.1007/978-981-19-5868-7_9,Sushila RatreJyotsna Jayaraj,2023,https://link.springer.com/chapter/10.1007/978-981-19-5868-7_9,Conference paper
HSCNet++: Hierarchical Scene Coordinate Classification and Regression for Visual Localization with Transformer,International Journal of Computer Vision,,,,10.1007/s11263-023-01982-9,Shuzhe WangZakaria LaskarIaroslav MelekhovXiaotian LiYi ZhaoGiorgos ToliasJuho Kannala,2024,https://link.springer.com/article/10.1007/s11263-023-01982-9,Article
Exploring Advanced Methodologies in Security Evaluation for Large Language Models,Network Simulation and Evaluation,,,,10.1007/978-981-97-4519-7_10,Jun HuangJiawei ZhangQi WangWeihong HanYanchun Zhang,2024,https://link.springer.com/chapter/10.1007/978-981-97-4519-7_10,Conference paper
Reinforcement Learning in Algorithmic Trading: An Overview,Artificial intelligence and Machine Learning,,,,10.1007/978-3-031-62843-6_8,Przemysław Czuba,2024,https://link.springer.com/chapter/10.1007/978-3-031-62843-6_8,Conference paper
An operator-based service orchestration method for medical image intelligent analysis systems,Service Oriented Computing and Applications,,,,10.1007/s11761-025-00467-6,Yu GeHongming CaiYan SunKuo-Ming ChaoHan YuWei He,2025,https://link.springer.com/article/10.1007/s11761-025-00467-6,Article
Integrated multi-view modeling for reliable machine learning-intensive software engineering,Software Quality Journal,,,,10.1007/s11219-024-09687-z,Jati H. HusenHironori WashizakiJomphon RunpakprakunNobukazu YoshiokaHnin Thandar TunYoshiaki FukazawaHironori Takeuchi,2024,https://link.springer.com/article/10.1007/s11219-024-09687-z,Article
A generic LSTM neural network architecture to infer heterogeneous model transformations,Software and Systems Modeling,,,,10.1007/s10270-021-00893-y,Loli BurgueñoJordi CabotShuai LiSébastien Gérard,2021,https://link.springer.com/article/10.1007/s10270-021-00893-y,Article
An efficient content-based medical image retrieval based on a new Canny steerable texture filter and Brownian motion weighted deep learning neural network,The Visual Computer,,,,10.1007/s00371-022-02446-w,R. Varaprasada RaoT. Jaya Chandra Prasad,2022,https://link.springer.com/article/10.1007/s00371-022-02446-w,Article
The multi-mode operation decision of cleaning robot based on curriculum learning strategy&#xa0;and feedback network,Neural Computing and Applications,,,,10.1007/s00521-022-06980-5,Panbo FuDongbo ZhangFeng YinHongzhong Tang,2022,https://link.springer.com/article/10.1007/s00521-022-06980-5,Article
"Real world projects, real faults: evaluating spectrum based fault localization techniques on Python projects",Empirical Software Engineering,,,,10.1007/s10664-022-10189-4,Ratnadira WidyasariGede Artha Azriadi PranaStefanus Agus HaryonoShaowei WangDavid Lo,2022,https://link.springer.com/article/10.1007/s10664-022-10189-4,Article
"Design and Development of a Virtual Laboratory Using the Python Web Framework Django to Carry Out Experiments in the Stream of ML, DSP, and Digital Communication",Intelligent Systems in Computing and Communication,,,,10.1007/978-3-031-75608-5_17,ShivaprasadA. S. Dinesha,2025,https://link.springer.com/chapter/10.1007/978-3-031-75608-5_17,Conference paper
A Similarity-Guided Framework for&#xa0;Error-Driven Discovery of&#xa0;Patient Neighbourhoods in&#xa0;EMA Data,Advances in Intelligent Data Analysis XXI,,,,10.1007/978-3-031-30047-9_36,Vishnu UnnikrishnanMiro SchleicherClara PugaRuediger PryssCarsten VogelWinfried SchleeMyra Spiliopoulou,2023,https://link.springer.com/chapter/10.1007/978-3-031-30047-9_36,Conference paper
Forecasting adversities of COVID-19 waves in India using intelligent computing,Innovations in Systems and Software Engineering,,,,10.1007/s11334-022-00486-y,Arijit ChakrabortyDipankar DasSajal MitraDebashis DeAnindya J. Pal,2022,https://link.springer.com/article/10.1007/s11334-022-00486-y,Article
Advances of Pipeline Model Parallelism for Deep Learning Training: An Overview,Journal of Computer Science and Technology,,,,10.1007/s11390-024-3872-3,Lei GuanDong-Sheng LiJi-Ye LiangWen-Jian WangKe-Shi GeXi-Cheng Lu,2024,https://link.springer.com/article/10.1007/s11390-024-3872-3,Article
R-CAE-Informer Based Short-Term Load Forecasting by Enhancing Feature in Smart Grids,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-97-5666-7_19,Yiying ZhangKe LiuYanping DongSiwei LiWenjing Li,2024,https://link.springer.com/chapter/10.1007/978-981-97-5666-7_19,Conference paper
Object feature selection under high-dimension and few-shot data based on three-way decision,The Visual Computer,,,,10.1007/s00371-022-02411-7,Kaifang WanJianmei WangBo LiDaqing ChenLinyu Tian,2022,https://link.springer.com/article/10.1007/s00371-022-02411-7,Article
When Crowdsourcing Meets Data Markets: A Fair Data Value Metric for Data Trading,Journal of Computer Science and Technology,,,,10.1007/s11390-023-2519-0,Yang-Su LiuZhen-Zhe ZhengFan WuGui-Hai Chen,2024,https://link.springer.com/article/10.1007/s11390-023-2519-0,Article
A Review: One-Shot Object Detection Methods for Conditional Detection of Retail and Warehouse Products,Neural Processing Letters,,,,10.1007/s11063-025-11742-0,Matthieu DesmarescauxWissam KaddahAyman AlfalouJean-Charles Deconninck,2025,https://link.springer.com/article/10.1007/s11063-025-11742-0,Article
Learning to&#xa0;Give Useful Hints: Assistance Action Evaluation and&#xa0;Policy Improvements,Responsive and Sustainable Educational Futures,,,,10.1007/978-3-031-42682-7_26,Robin SchmuckerNimish PachapurkarShanmuga BalaMiral ShahTom Mitchell,2023,https://link.springer.com/chapter/10.1007/978-3-031-42682-7_26,Conference paper
CasSampling: Exploring Efficient Cascade Graph Learning for&#xa0;Popularity Prediction,Machine Learning and Knowledge Discovery in Databases: Research Track,,,,10.1007/978-3-031-43418-1_5,Guixiang ChengXin YanShengxiang GaoGuangyi XuXianghua Miao,2023,https://link.springer.com/chapter/10.1007/978-3-031-43418-1_5,Conference paper
A Survey of LLM Datasets: From Autoregressive Model to AI Chatbot,Journal of Computer Science and Technology,,,,10.1007/s11390-024-3767-3,Fei DuXin-Jian MaJing-Ru YangYi LiuChao-Ran LuoXue-Bin WangHai-Ou JiangXiang Jing,2024,https://link.springer.com/article/10.1007/s11390-024-3767-3,Article
Hugs Bring Double Benefits: Unsupervised Cross-Modal Hashing with Multi-granularity Aligned Transformers,International Journal of Computer Vision,,,,10.1007/s11263-024-02009-7,Jinpeng WangZiyun ZengBin ChenYuting WangDongliang LiaoGongfu LiYiru WangShu-Tao Xia,2024,https://link.springer.com/article/10.1007/s11263-024-02009-7,Article
CAGCN: Centrality-Aware Graph Convolution Network for Anomaly Detection in Industrial Control Systems,Journal of Computer Science and Technology,,,,10.1007/s11390-022-2149-y,Jun YangYi-Qiang ShengJin-Lin WangHong Ni,2024,https://link.springer.com/article/10.1007/s11390-022-2149-y,Article
Calibration methods in imbalanced binary classification,Annals of Mathematics and Artificial Intelligence,,,,10.1007/s10472-024-09952-8,Théo GuilbertOlivier CaelenAndrei ChiritaMarco Saerens,2024,https://link.springer.com/article/10.1007/s10472-024-09952-8,Article
Automatic Detection and Monitoring of Hate Speech in Online Multi-social Media,Advanced Communication and Intelligent Systems,,,,10.1007/978-3-031-25088-0_53,Ashwini KumarSantosh KumarVishu Tyagi,2023,https://link.springer.com/chapter/10.1007/978-3-031-25088-0_53,Conference paper
Grading Documentation with&#xa0;Machine Learning,Artificial Intelligence in Education,,,,10.1007/978-3-031-64302-6_8,Marcus MesserMiaojing ShiNeil C. C. BrownMichael Kölling,2024,https://link.springer.com/chapter/10.1007/978-3-031-64302-6_8,Conference paper
When GPT-4 Goes to&#xa0;Class: Benchmarking MOOCs and&#xa0;Enhancing Course Design with&#xa0;AI,Artificial Intelligence in Education,,,,10.1007/978-3-031-98462-4_1,Mohamed ElhayanyChristoph Meinel,2025,https://link.springer.com/chapter/10.1007/978-3-031-98462-4_1,Conference paper
Object Detection at Edge Using TinyML Models,SN Computer Science,,,,10.1007/s42979-023-02304-z,Andhe DharaniS. Anupama KumarPeethi N. Patil,2023,https://link.springer.com/article/10.1007/s42979-023-02304-z,Article
Boosting deep cross-modal retrieval hashing with adversarially robust training,Applied Intelligence,,,,10.1007/s10489-023-04715-0,Xingwei ZhangXiaolong ZhengWenji MaoDaniel Dajun Zeng,2023,https://link.springer.com/article/10.1007/s10489-023-04715-0,Article
Predicting Performance Drift in&#xa0;AI Models of&#xa0;Healthcare Without Ground Truth Labels,Advances in Intelligent Data Analysis XXII,,,,10.1007/978-3-031-58547-0_14,Ylenia RotalintiPuja MylesAllan Tucker,2024,https://link.springer.com/chapter/10.1007/978-3-031-58547-0_14,Conference paper
On the usage and development of deep learning compilers: an empirical study on TVM,Empirical Software Engineering,,,,10.1007/s10664-022-10221-7,Xiongfei WuJinqiu YangLei MaYinxing XueJianjun Zhao,2022,https://link.springer.com/article/10.1007/s10664-022-10221-7,Article
Intra-day Electricity Price Forecasting Based on&#xa0;a&#xa0;Time2Vec-LSTM Model,Applications of Computational Intelligence,,,,10.1007/978-3-031-48415-5_8,Sergio Cantillo-LunaRicardo Moreno-ChuquenJesus Lopez-Sotelo,2024,https://link.springer.com/chapter/10.1007/978-3-031-48415-5_8,Conference paper
AI Assisted Programming,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-75434-0_7,Wolfgang AhrendtBernhard K. AichernigKlaus Havelund,2025,https://link.springer.com/chapter/10.1007/978-3-031-75434-0_7,Conference paper
CoRT: Transformer-based code representations with self-supervision by predicting reserved words for code smell detection,Empirical Software Engineering,,,,10.1007/s10664-024-10445-9,Amal AlazbaHamoud AljamaanMohammad Alshayeb,2024,https://link.springer.com/article/10.1007/s10664-024-10445-9,Article
A model-driven approach to machine learning and software modeling for the IoT,Software and Systems Modeling,,,,10.1007/s10270-021-00967-x,Armin MoinMoharram ChallengerAtta BadiiStephan Günnemann,2022,https://link.springer.com/article/10.1007/s10270-021-00967-x,Article
Classification of&#xa0;In-Situ Solar Wind Data Measured by&#xa0;Solar Orbiter/SWA-PAS and&#xa0;HIS Using Machine Learning,Recent Advances in Next-Generation Data Science,,,,10.1007/978-3-031-67871-4_13,Liang ZhaoHenry HanSusan T. LepriRyan Dewey,2024,https://link.springer.com/chapter/10.1007/978-3-031-67871-4_13,Conference paper
A Robust Adversarial Attack Framework for Enhanced Software Vulnerability Detection Systems,The 22nd International Conference on Information Technology-New Generations (ITNG 2025),,,,10.1007/978-3-031-89063-5_35,Biswash Nursingh KunwarPrasanthi Sreekumari,2025,https://link.springer.com/chapter/10.1007/978-3-031-89063-5_35,Conference paper
Identification of Stock Market Manipulation with Deep Learning,Advanced Data Mining and Applications,,,,10.1007/978-3-030-95405-5_29,Jillian TallboysYe ZhuSutharshan Rajasegarar,2022,https://link.springer.com/chapter/10.1007/978-3-030-95405-5_29,Conference paper
Predictive Analysis with&#xa0;Technical Indicators and&#xa0;Features Selection for&#xa0;Futures Contracts Trading,Computational Science and Its Applications – ICCSA 2025,,,,10.1007/978-3-031-96997-3_22,Andrey V. S. SouzaRichard F. PintoBruno L. DalmazoEduardo N. BorgesGiancarlo LuccaViviane L. D. de MattosRafael A. Berri,2025,https://link.springer.com/chapter/10.1007/978-3-031-96997-3_22,Conference paper
New trends in applied machine intelligence,Informatik Spektrum,,,,10.1007/s00287-025-01589-z,Bernhard G. HummLothar B. BlumJohannes BusseSophie DecherMichael DembachChristian GoetzThomas HoppeLukas KauppAnne SchwerkEva SeidlmayerMelanie SiegelRigo WenningAlexander Zender,2025,https://link.springer.com/article/10.1007/s00287-025-01589-z,Article
