Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Asynchronous and&#xa0;Distributed Multi-agent Systems: An Approach Using Actor Model,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-23236-7_48,Felipe D. ReisTales B. NascimentoCarolina G. MarcelinoElizabeth F. WannerHenrique E. BorgesSancho Salcedo-Sanz,2022,https://link.springer.com/chapter/10.1007/978-3-031-23236-7_48,Conference paper
Modelling and verification of reconfigurable multi-agent systems,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-021-09521-x,Yehia Abd AlrahmanNir Piterman,2021,https://link.springer.com/article/10.1007/s10458-021-09521-x,Article
Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-82254-5,Ariel RosenfeldNimrod Talmon,2021,https://link.springer.com/book/10.1007/978-3-030-82254-5,Conference proceedings
Multi-Agent Systems in&#xa0;Support of&#xa0;Digital Twins: A Survey,Bio-inspired Systems and Applications: from Robotics to Ambient Intelligence,,,,10.1007/978-3-031-06527-9_52,Elena PretelElena NavarroVíctor López-JaqueroAlejandro MoyaPascual González,2022,https://link.springer.com/chapter/10.1007/978-3-031-06527-9_52,Conference paper
Leader-Following Consensus of Fractional-Order Uncertain Multi-Agent Systems with Time Delays,Neural Processing Letters,,,,10.1007/s11063-022-10837-2,Hailang YangSai LiLe YangZhixia Ding,2022,https://link.springer.com/article/10.1007/s11063-022-10837-2,Article
Deep Skill Chaining with Diversity for Multi-agent Systems*,Artificial Intelligence,,,,10.1007/978-3-031-20503-3_17,Zaipeng XieCheng JiYufeng Zhang,2022,https://link.springer.com/chapter/10.1007/978-3-031-20503-3_17,Conference paper
Data Synchronization in&#xa0;Distributed Simulation of&#xa0;Multi-Agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_5,Paul BreugnotBénédicte HerrmannChristophe LangLaurent Philippe,2022,https://link.springer.com/chapter/10.1007/978-3-031-18192-4_5,Conference paper
The Couple-Group Consensus of Heterogeneous Multi-Agent Systems with Different Leaders Under Markov Switching in Cooperative-Competitive Networks,Neural Processing Letters,,,,10.1007/s11063-022-10964-w,Xingcheng PuLingxia Zhang,2022,https://link.springer.com/article/10.1007/s11063-022-10964-w,Article
A Modular Architecture for&#xa0;Integrating Normative Advisors in&#xa0;MAS,Multi-Agent Systems,,,,10.1007/978-3-031-20614-6_18,Mostafa Mohajeri PariziL. Thomas van BinsbergenGiovanni SilenoTom van Engers,2022,https://link.springer.com/chapter/10.1007/978-3-031-20614-6_18,Conference paper
PRIMA 2022: Principles and Practice of Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-031-21203-1,Reyhan AydoğanNatalia CriadoJérôme LangVictor Sanchez-AnguixMarc Serramia,2022,https://link.springer.com/book/10.1007/978-3-031-21203-1,Conference proceedings
Rational verification: game-theoretic verification of multi-agent systems,Applied Intelligence,,,,10.1007/s10489-021-02658-y,Alessandro AbateJulian GutierrezLewis HammondPaul HarrensteinMarta KwiatkowskaMuhammad NajibGiuseppe PerelliThomas SteeplesMichael Wooldridge,2021,https://link.springer.com/article/10.1007/s10489-021-02658-y,Article
A Detailed Analysis of&#xa0;a&#xa0;Systematic Review About Requirements Engineering Processes for&#xa0;Multi-agent Systems,Agents and Artificial Intelligence,,,,10.1007/978-3-031-10161-8_3,Giovane D’Avila MendonçaIderli Pereira de Souza FilhoGilleanes Thorwald Araujo Guedes,2022,https://link.springer.com/chapter/10.1007/978-3-031-10161-8_3,Conference paper
"Real-time multi-agent systems: rationality, formal model, and empirical results",Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-020-09492-5,Davide CalvaresiYashin Dicente CidMauro MarinoniAldo Franco DragoniAmro NajjarMichael Schumacher,2021,https://link.springer.com/article/10.1007/s10458-020-09492-5,Article
Using Institutional Purposes to&#xa0;Enhance Openness of&#xa0;Multi-Agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_8,Rafhael R. CunhaJomi F. HübnerMaiquel de Brito,2022,https://link.springer.com/chapter/10.1007/978-3-031-18192-4_8,Conference paper
Time-varying formation control with general linear multi-agent systems by distributed event-triggered mechanisms under fixed and switching topologies,Neural Computing and Applications,,,,10.1007/s00521-021-06539-w,Juan ZhangHuaguang ZhangZhiyun GaoShaoxin Sun,2022,https://link.springer.com/article/10.1007/s00521-021-06539-w,Article
Run-Time Norms Synthesis in&#xa0;Multi-objective Multi-agent Systems,"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XIV",,,,10.1007/978-3-031-16617-4_6,Maha RiadFatemeh Golpayegani,2022,https://link.springer.com/chapter/10.1007/978-3-031-16617-4_6,Conference paper
EPMC Gets Knowledge in Multi-agent Systems,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-030-94583-1_5,Chen FuErnst Moritz HahnYong LiSven ScheweMeng SunAndrea TurriniLijun Zhang,2022,https://link.springer.com/chapter/10.1007/978-3-030-94583-1_5,Conference paper
Application of neural ordinary differential equations to the prediction of multi-agent systems,Artificial Life and Robotics,,,,10.1007/s10015-021-00719-6,Sebastian HerzogFlorentin Wörgötter,2021,https://link.springer.com/article/10.1007/s10015-021-00719-6,Article
Adaptive consensus tracking control of strict-feedback nonlinear multi-agent systems with unknown dynamic leader,Neural Computing and Applications,,,,10.1007/s00521-021-06801-1,Yang CuiXiaoping Liu,2022,https://link.springer.com/article/10.1007/s00521-021-06801-1,Article
Towards the&#xa0;Combination of&#xa0;Model Checking and&#xa0;Runtime Verification on&#xa0;Multi-agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_12,Angelo FerrandoVadim Malvone,2022,https://link.springer.com/chapter/10.1007/978-3-031-18192-4_12,Conference paper
Measuring Protocol Consistency in&#xa0;Cohesive Hybrid Intelligent Multi-agent Systems,Open Semantic Technologies for Intelligent Systems,,,,10.1007/978-3-031-15882-7_3,Igor KirikovSergey Listopad,2022,https://link.springer.com/chapter/10.1007/978-3-031-15882-7_3,Conference paper
Formal Specification of Fault-Tolerant Multi-agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85739-4_24,Elena Troubitsyna,2021,https://link.springer.com/chapter/10.1007/978-3-030-85739-4_24,Conference paper
Positive consensus of fractional-order multi-agent systems,Neural Computing and Applications,,,,10.1007/s00521-021-06213-1,Siyu ChenQing AnYanyan YeHousheng Su,2021,https://link.springer.com/article/10.1007/s00521-021-06213-1,Article
Model-Free Optimal Consensus Control for Multi-agent Systems Based on DHP Algorithm,Neural Processing Letters,,,,10.1007/s11063-021-10641-4,Haoen ShiYanghe FengChaoxu MuYunkai Wu,2021,https://link.springer.com/article/10.1007/s11063-021-10641-4,Article
"Explainable, Transparent Autonomous Agents and Multi-Agent Systems",Lecture Notes in Computer Science,,,,10.1007/978-3-030-51924-7,Davide CalvaresiAmro NajjarMichael WinikoffKary Främling,2020,https://link.springer.com/book/10.1007/978-3-030-51924-7,Conference proceedings
Enabling scalable and fault-tolerant multi-agent systems by utilizing cloud-native computing,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-020-09489-0,Stefan DählingLukas RazikAntonello Monti,2021,https://link.springer.com/article/10.1007/s10458-020-09489-0,Article
Adaptation of HMIs According to Users’ Feelings Based on Multi-agent Systems,Advances and Trends in Artificial Intelligence. Theory and Practices in Artificial Intelligence,,,,10.1007/978-3-031-08530-7_35,Alia MaaloulHoussem Eddine NouriZied TrifaOlfa Belkahla Driss,2022,https://link.springer.com/chapter/10.1007/978-3-031-08530-7_35,Conference paper
Learning Cooperative Behaviours in Adversarial Multi-agent Systems,Towards Autonomous Robotic Systems,,,,10.1007/978-3-031-15908-4_15,Ni WangGautham P. DasAlan G. Millard,2022,https://link.springer.com/chapter/10.1007/978-3-031-15908-4_15,Conference paper
Observer and Command-Filter-Based Adaptive Neural Network Control Algorithms for Nonlinear Multi-agent Systems with Input Delay,Cognitive Computation,,,,10.1007/s12559-021-09959-x,Lidan MaXin WangYuhao Zhou,2022,https://link.springer.com/article/10.1007/s12559-021-09959-x,Article
Modelling resilient collaborative multi-agent systems,Computing,,,,10.1007/s00607-020-00861-2,Inna VistbakkaElena Troubitsyna,2020,https://link.springer.com/article/10.1007/s00607-020-00861-2,Article
A MAS approach for vehicle routing problem,Neural Computing and Applications,,,,10.1007/s00521-021-06587-2,Mir Mohammad AlipourHojjat EmamiMohsen Abdolhosseinzadeh,2022,https://link.springer.com/article/10.1007/s00521-021-06587-2,Article
Observer-Based $$H_{\infty }$$ -Consensus Control of&#xa0;Multi-agent Systems Under WTOD Protocol,Intelligent Robotics and Applications,,,,10.1007/978-3-031-13835-5_46,Jinbo SongYafei JiaoFan YangChao Xu,2022,https://link.springer.com/chapter/10.1007/978-3-031-13835-5_46,Conference paper
Machine Ethics - Is It Just Normative Multi-agent Systems?,"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XIV",,,,10.1007/978-3-031-16617-4_1,Marija Slavkovik,2022,https://link.springer.com/chapter/10.1007/978-3-031-16617-4_1,Conference paper
Fixed-Time Bipartite Consensus for&#xa0;Multi-Agent Systems Subjected to&#xa0;External Disturbances,Intelligent Networked Things,,,,10.1007/978-981-19-8915-5_30,Kaili XiangZhiyong YuHaijun Jiang,2022,https://link.springer.com/chapter/10.1007/978-981-19-8915-5_30,Conference paper
Co-Learning: Consensus-based Learning for&#xa0;Multi-Agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_6,C. CarrascosaJ. RincónM. Rebollo,2022,https://link.springer.com/chapter/10.1007/978-3-031-18192-4_6,Conference paper
Multi-Agent Systems and Agreement Technologies,Lecture Notes in Computer Science,,,,10.1007/978-3-030-66412-1,Nick BassiliadesGeorgios ChalkiadakisDave de Jonge,2021,https://link.springer.com/book/10.1007/978-3-030-66412-1,Conference proceedings
Governing Black-Box Agents in Competitive Multi-Agent Systems,Multi-Agent Systems,,,,10.1007/978-3-030-82254-5_2,Michael PernpeintnerChristian BarteltHeiner Stuckenschmidt,2021,https://link.springer.com/chapter/10.1007/978-3-030-82254-5_2,Conference paper
Seamless Integration and&#xa0;Testing for&#xa0;MAS Engineering,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-97457-2_15,Mostafa Mohajeri PariziGiovanni SilenoTom van Engers,2022,https://link.springer.com/chapter/10.1007/978-3-030-97457-2_15,Conference paper
Scaled Consensus of&#xa0;Switched Multi-Agent Systems with&#xa0;Controller Failure and&#xa0;Time-Varying Delay,Intelligent Networked Things,,,,10.1007/978-981-19-8915-5_36,Yaping SunXinsong Yang,2022,https://link.springer.com/chapter/10.1007/978-981-19-8915-5_36,Conference paper
Distributed Fixed-Time Consensus and&#xa0;Optimization for&#xa0;Second-Order Multi-Agent Systems,Intelligent Networked Things,,,,10.1007/978-981-19-8915-5_40,Xuli CaoCheng HuJuan YuHaijun Jiang,2022,https://link.springer.com/chapter/10.1007/978-981-19-8915-5_40,Conference paper
Towards Collaborative Creativity in&#xa0;Persuasive Multi-agent Systems,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85739-4_4,Jean-Paul CalbimonteDavide CalvaresiMichael Schumacher,2021,https://link.springer.com/chapter/10.1007/978-3-030-85739-4_4,Conference paper
Engineering Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-66534-0,Cristina BaroglioJomi F. HubnerMichael Winikoff,2021,https://link.springer.com/book/10.1007/978-3-030-66534-0,Conference proceedings
A Distributed Simplex Architecture for&#xa0;Multi-agent Systems,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-3-030-91265-9_13,Usama MehmoodScott D. StollerRadu GrosuShouvik RoyAmol DamareScott A. Smolka,2021,https://link.springer.com/chapter/10.1007/978-3-030-91265-9_13,Conference paper
Runtime revision of sanctions in normative multi-agent systems,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-020-09465-8,Davide Dell’AnnaMehdi DastaniFabiano Dalpiaz,2020,https://link.springer.com/article/10.1007/s10458-020-09465-8,Article
"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XIV",Lecture Notes in Computer Science,,,,10.1007/978-3-031-16617-4,Andreas TheodorouJuan Carlos NievesMarina De Vos,2022,https://link.springer.com/book/10.1007/978-3-031-16617-4,Conference proceedings
A nonautonomous-differential-inclusion neurodynamic approach for nonsmooth distributed optimization on multi-agent systems,Neural Computing and Applications,,,,10.1007/s00521-021-06026-2,Xingnan WenYixuan WangSitian Qin,2021,https://link.springer.com/article/10.1007/s00521-021-06026-2,Article
A Practical Framework for General Dialogue-Based Bilateral Interactions,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-97457-2_18,Seyed Ali HosseiniDavid MinarschMarco Favorito,2022,https://link.springer.com/chapter/10.1007/978-3-030-97457-2_18,Conference paper
Competition and Cooperation Mechanisms for Collective Behavior in Large Multi-agent Systems,Computational Science – ICCS 2022,,,,10.1007/978-3-031-08754-7_65,Franciszek SeredyńskiTomasz KulpaRolf Hoffmann,2022,https://link.springer.com/chapter/10.1007/978-3-031-08754-7_65,Conference paper
A DBDN with the MAS Ellipsis,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85739-4_31,Marianne Mauch,2021,https://link.springer.com/chapter/10.1007/978-3-030-85739-4_31,Conference paper
Resilient Event-Triggered Distributed Resource Allocation for&#xa0;Multi-agent Systems Under DoS Attacks,Intelligent Networked Things,,,,10.1007/978-981-19-8915-5_37,Xin CaiFeng XiaoBo Wei,2022,https://link.springer.com/chapter/10.1007/978-981-19-8915-5_37,Conference paper
Toward a&#xa0;Kinetic Framework to&#xa0;Model the&#xa0;Collective Dynamics of&#xa0;Multi-agent Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_11,Stefania MonicaFederico BergentiFranco Zambonelli,2022,https://link.springer.com/chapter/10.1007/978-3-031-19759-8_11,Conference paper
Dial4JaCa – A Communication Interface Between Multi-agent Systems and&#xa0;Chatbots,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85739-4_7,Débora EngelmannJuliana DamasioTabajara KrausburgOlimar BorgesMateus ColissiAlison R. PanissonRafael H. Bordini,2021,https://link.springer.com/chapter/10.1007/978-3-030-85739-4_7,Conference paper
Short Duration Aggregate Statistical Model Checking for Multi-Agent Systems,PRIMA 2020: Principles and Practice of Multi-Agent Systems,,,,10.1007/978-3-030-69322-0_32,Ramesh YendaM. V. Panduranga Rao,2021,https://link.springer.com/chapter/10.1007/978-3-030-69322-0_32,Conference paper
Using Cooperative Multi-agent Systems to Support the Generation of Student Learning Profiles in the Deep Dive Land Bridge System,"HCI International 2022 - Late Breaking Papers. Interaction in New Media, Learning and Games",,,,10.1007/978-3-031-22131-6_38,Chencheng ZhangSarah SaadThomas PalazzoloRobert ReynoldsJohn O’SheaCailen O’SheaAshley Lemke,2022,https://link.springer.com/chapter/10.1007/978-3-031-22131-6_38,Conference paper
An Open MAS/IoT-Based Architecture for&#xa0;Large-Scale V2G/G2V,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_1,Charilaos AkasiadisGeorgios IatrakisNikolaos SpanoudakisGeorgios Chalkiadakis,2022,https://link.springer.com/chapter/10.1007/978-3-031-18192-4_1,Conference paper
How to turn an MAS into a graphical causal model,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-022-09560-y,H. Van Dyke Parunak,2022,https://link.springer.com/article/10.1007/s10458-022-09560-y,Article
"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",Lecture Notes in Computer Science,,,,10.1007/978-3-031-18192-4,Frank DignumPhilippe MathieuJuan Manuel CorchadoFernando De La Prieta,2022,https://link.springer.com/book/10.1007/978-3-031-18192-4,Conference proceedings
"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",Communications in Computer and Information Science,,,,10.1007/978-3-031-18697-4,Alfonso González-BrionesAna AlmeidaAlberto FernandezAlia El BolockDalila DurãesJaume JordánFernando Lopes,2022,https://link.springer.com/book/10.1007/978-3-031-18697-4,Conference proceedings
Engineering Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-51417-4,Louise A. DennisRafael H. BordiniYves Lespérance,2020,https://link.springer.com/book/10.1007/978-3-030-51417-4,Conference proceedings
Adaptive Fuzzy Distributed Formation Tracking for&#xa0;Second-order Nonlinear Multi-agent Systems with&#xa0;Prescribed Performance,Neural Computing for Advanced Applications,,,,10.1007/978-981-19-6142-7_12,Binghe AnZongzhun ZhengBo WangHuijin FanLei LiuYongji Wang,2022,https://link.springer.com/chapter/10.1007/978-981-19-6142-7_12,Conference paper
Leader-Following Consensus of Non-linear Multi-agent Systems with Interval Time-Varying Delay via Impulsive Control,Neural Processing Letters,,,,10.1007/s11063-020-10384-8,M. Syed AliR. AgalyaZeynep OrmanSabri Arik,2020,https://link.springer.com/article/10.1007/s11063-020-10384-8,Article
A SMT-based Implementation for Safety Checking of Parameterized Multi-Agent Systems,PRIMA 2020: Principles and Practice of Multi-Agent Systems,,,,10.1007/978-3-030-69322-0_17,Paolo FelliAlessandro GianolaMarco Montali,2021,https://link.springer.com/chapter/10.1007/978-3-030-69322-0_17,Conference paper
A-EMS: An Adaptive Emergency Management System for&#xa0;Autonomous Agents in&#xa0;Unforeseen Situations,Towards Autonomous Robotic Systems,,,,10.1007/978-3-031-15908-4_21,Glenn MaguireNicholas KetzPraveen K. PillyJean-Baptiste Mouret,2022,https://link.springer.com/chapter/10.1007/978-3-031-15908-4_21,Conference paper
Smart Cyber-Physical System-of-Systems Using Intelligent Agents and MAS,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-97457-2_11,Burak KaradumanMoharram Challenger,2022,https://link.springer.com/chapter/10.1007/978-3-030-97457-2_11,Conference paper
Modelling Strategic Deceptive Planning in&#xa0;Adversarial Multi-agent Systems,Deceptive AI,,,,10.1007/978-3-030-91779-1_6,Lyndon BenkeMichael PapasimeonTim Miller,2021,https://link.springer.com/chapter/10.1007/978-3-030-91779-1_6,Conference paper
Multi-hop Learning Promote Cooperation in Multi-agent Systems,"Knowledge Science, Engineering and Management",,,,10.1007/978-3-030-82136-4_6,Xingyu LiuRunyu GuanTao WangLe HanYu QinYi Wang,2021,https://link.springer.com/chapter/10.1007/978-3-030-82136-4_6,Conference paper
Model Checking Reconfigurable Interacting Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_23,Yehia Abd AlrahmanShaun AzzopardiNir Piterman,2022,https://link.springer.com/chapter/10.1007/978-3-031-19759-8_23,Conference paper
A Unifying Framework for Agency in Hypermedia Environments,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-97457-2_3,Victor CharpenayTobias KäferAndreas Harth,2022,https://link.springer.com/chapter/10.1007/978-3-030-97457-2_3,Conference paper
PRIMA 2020: Principles and Practice of Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-69322-0,Takahiro UchiyaQuan BaiIván Marsá Maestre,2021,https://link.springer.com/book/10.1007/978-3-030-69322-0,Conference proceedings
Probabilistic Mission Planning and Analysis for Multi-agent Systems,"Leveraging Applications of Formal Methods, Verification and Validation: Verification Principles",,,,10.1007/978-3-030-61362-4_20,Rong GuEduard EnoiuCristina SeceleanuKristina Lundqvist,2020,https://link.springer.com/chapter/10.1007/978-3-030-61362-4_20,Conference paper
Bipartite consensus of double-integrator multi-agent systems with nonuniform communication time delays,Neural Computing and Applications,,,,10.1007/s00521-020-05072-6,Wenfeng HuYanhua YangGuo ChenMin Meng,2020,https://link.springer.com/article/10.1007/s00521-020-05072-6,Article
Cooperative output regulation of heterogeneous linear multi-agent systems with edge-event triggered adaptive control under time-varying topologies,Neural Computing and Applications,,,,10.1007/s00521-020-04883-x,Juan ZhangHuaguang ZhangYanzheng LuShaoxin Sun,2020,https://link.springer.com/article/10.1007/s00521-020-04883-x,Article
Cooperative Multi-agent Systems for the Multi-target $$\upkappa $$ -Coverage Problem,Agents and Artificial Intelligence,,,,10.1007/978-3-030-71158-0_5,Mirgita FrasheriLukas EsterleAlessandro Vittorio Papadopoulos,2021,https://link.springer.com/chapter/10.1007/978-3-030-71158-0_5,Conference paper
An Epistemic Logic for Multi-agent Systems with Budget and Costs,Logics in Artificial Intelligence,,,,10.1007/978-3-030-75775-5_8,Stefania CostantiniAndrea FormisanoValentina Pitoni,2021,https://link.springer.com/chapter/10.1007/978-3-030-75775-5_8,Conference paper
SMT-Based Unbounded Model Checking for&#xa0;ATL,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-98850-0_4,Michał KańskiArtur NiewiadomskiMagdalena KacprzakWojciech PenczekWojciech Nabiałek,2022,https://link.springer.com/chapter/10.1007/978-3-030-98850-0_4,Conference paper
MAS Network: Surrogate Neural Network for&#xa0;Multi-agent Simulation,Multi-Agent-Based Simulation XXII,,,,10.1007/978-3-030-94548-0_9,Hiroaki YamadaMasataka ShirahashiNaoyuki KamiyamaYumeka Nakajima,2022,https://link.springer.com/chapter/10.1007/978-3-030-94548-0_9,Conference paper
"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",Communications in Computer and Information Science,,,,10.1007/978-3-030-85710-3,Fernando De La PrietaAlia El BolockDalila DurãesJoão CarneiroFernando LopesVicente Julian,2021,https://link.springer.com/book/10.1007/978-3-030-85710-3,Conference proceedings
Guaranteed Cost Formation Control for Linear Multi-agent Systems with Switching Topologies,Intelligent Robotics and Applications,,,,10.1007/978-3-030-89095-7_46,Yaxiao ZhangNing HuangShiwen TongBopei Zheng,2021,https://link.springer.com/chapter/10.1007/978-3-030-89095-7_46,Conference paper
"Advances in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",Lecture Notes in Computer Science,,,,10.1007/978-3-030-85739-4,Frank DignumJuan Manuel CorchadoFernando De La Prieta,2021,https://link.springer.com/book/10.1007/978-3-030-85739-4,Conference proceedings
Disaster Response Simulation as a Testbed for Multi-Agent Systems,Multi-Agent Systems and Agreement Technologies,,,,10.1007/978-3-030-66412-1_5,Tabajara KrausburgVinicius ChrisosthemosRafael H. BordiniJürgen Dix,2020,https://link.springer.com/chapter/10.1007/978-3-030-66412-1_5,Conference paper
Non-singular Finite-Time Consensus Tracking Protocols for Second-Order Multi-agent Systems,Advances in Swarm Intelligence,,,,10.1007/978-3-030-78811-7_18,Yao ZouWenfu YangZixuan WangKeping LongWei He,2021,https://link.springer.com/chapter/10.1007/978-3-030-78811-7_18,Conference paper
"In-Time Explainability in Multi-Agent Systems: Challenges, Opportunities, and Roadmap","Explainable, Transparent Autonomous Agents and Multi-Agent Systems",,,,10.1007/978-3-030-51924-7_3,Francesco AlzettaPaolo GiorginiAmro NajjarMichael I. SchumacherDavide Calvaresi,2020,https://link.springer.com/chapter/10.1007/978-3-030-51924-7_3,Conference paper
Evolved Gossip Contracts - A Framework for Designing Multi-agent Systems,Parallel Problem Solving from Nature – PPSN XVI,,,,10.1007/978-3-030-58112-1_44,Nicola Mc DonnellEnda HowleyJim Duggan,2020,https://link.springer.com/chapter/10.1007/978-3-030-58112-1_44,Conference paper
Automatically-Generated Agent Organizations for&#xa0;Flexible Workflow Enactment,Agents and Artificial Intelligence,,,,10.1007/978-3-031-10161-8_4,Massimo CossentinoSalvatore LopesLuca Sabatucci,2022,https://link.springer.com/chapter/10.1007/978-3-031-10161-8_4,Conference paper
Learning controlled and targeted communication with the centralized critic for the multi-agent system,Applied Intelligence,,,,10.1007/s10489-022-04225-5,Qingshuang SunYuan YaoPeng YiYuJiao HuZhao YangGang YangXingshe Zhou,2022,https://link.springer.com/article/10.1007/s10489-022-04225-5,Article
"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XIII",Lecture Notes in Computer Science,,,,10.1007/978-3-030-72376-7,Andrea Aler TubellaStephen CranefieldChristopher FrantzFelipe MeneguzziWamberto Vasconcelos,2021,https://link.springer.com/book/10.1007/978-3-030-72376-7,Conference proceedings
AgentDevLaw: A Middleware Architecture for Integrating Legal Ontologies and Multi-agent Systems,Intelligent Systems,,,,10.1007/978-3-030-61380-8_3,Fábio Aiub SperottoMarilton Sanchotene de Aguiar,2020,https://link.springer.com/chapter/10.1007/978-3-030-61380-8_3,Conference paper
